                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.86336,                0.64494,                0.95116,                 0.7447,                0.68511,                0.71498,                0.46848,                 1.1758,                0.95234,                 1.0279,             0.00030906,             0.00030906,             0.00030906
                     52,                0.85395,                0.61716,                0.95141,                  0.771,                0.74009,                0.72916,                0.47963,                 1.1543,                0.91431,                 1.0158,             0.00029706,             0.00029706,             0.00029706
                     53,                0.83906,                0.61942,                0.92862,                0.77587,                0.69018,                0.71637,                0.46762,                 1.1804,                0.94348,                  1.014,             0.00028506,             0.00028506,             0.00028506
                     54,                0.81995,                0.59799,                0.94256,                0.70786,                  0.722,                 0.7226,                0.46899,                  1.181,                0.95938,                 1.0247,             0.00027306,             0.00027306,             0.00027306
                     55,                 0.8334,                0.58865,                0.93256,                0.75973,                0.67632,                0.71972,                0.48471,                 1.1535,                0.89369,                 1.0066,             0.00026106,             0.00026106,             0.00026106
                     56,                 0.8538,                0.60102,                0.94069,                 0.7215,                0.68014,                0.67723,                0.44306,                 1.1923,                0.97725,                 1.0351,             0.00024907,             0.00024907,             0.00024907
                     57,                0.80008,                0.57964,                0.93655,                0.75004,                0.71884,                0.71225,                0.46068,                 1.1566,                0.89714,                 1.0134,             0.00023707,             0.00023707,             0.00023707
                     58,                0.81112,                  0.581,                  0.922,                0.81565,                0.65913,                0.73204,                0.48482,                 1.1689,                0.95936,                 1.0216,             0.00022507,             0.00022507,             0.00022507
                     59,                0.79323,                0.57434,                 0.9263,                 0.8015,                0.65852,                 0.7302,                0.48467,                  1.171,                0.93621,                 1.0341,             0.00021307,             0.00021307,             0.00021307
                     60,                0.79678,                0.56415,                0.93105,                0.77415,                0.71553,                0.71297,                0.46747,                  1.155,                0.91567,                 1.0246,             0.00020107,             0.00020107,             0.00020107
                     61,                0.82591,                0.58579,                0.93898,                0.73976,                0.74287,                0.70377,                0.45539,                 1.1523,                0.91949,                 1.0142,             0.00018907,             0.00018907,             0.00018907
                     62,                 0.7754,                0.54845,                 0.9264,                0.77055,                0.67913,                 0.7098,                0.46379,                 1.1802,                0.95631,                 1.0426,             0.00017707,             0.00017707,             0.00017707
                     63,                0.79411,                0.56761,                0.92307,                0.78823,                0.64971,                0.70862,                0.45994,                 1.2075,                0.94049,                 1.0394,             0.00016507,             0.00016507,             0.00016507
                     64,                0.76944,                0.54913,                0.92235,                0.71167,                0.74302,                0.71254,                0.47123,                 1.1671,                0.87808,                 1.0345,             0.00015308,             0.00015308,             0.00015308
                     65,                0.79819,                0.56532,                0.93273,                 0.7566,                0.69931,                0.71191,                0.47054,                 1.1526,                0.91253,                 1.0163,             0.00014108,             0.00014108,             0.00014108
                     66,                0.85388,                0.58567,                0.90105,                0.69254,                0.71251,                0.70112,                0.45442,                 1.1796,                0.91968,                 1.0256,             0.00012908,             0.00012908,             0.00012908
                     67,                0.85423,                0.56728,                0.90135,                0.73609,                0.72729,                0.72855,                0.48255,                 1.1451,                0.87608,                 1.0136,             0.00011708,             0.00011708,             0.00011708
                     68,                0.82035,                0.55384,                 0.8923,                0.70369,                0.72889,                0.71634,                0.47062,                 1.1307,                0.89427,                 1.0084,             0.00010508,             0.00010508,             0.00010508
                     69,                0.84087,                0.55041,                0.89813,                0.71505,                0.68929,                0.71161,                0.47489,                 1.1521,                0.90426,                 1.0168,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     70,                 0.8255,                 0.5512,                 0.8957,                0.77618,                0.65155,                0.72706,                0.48025,                 1.1499,                0.90365,                 1.0195,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     71,                0.79551,                0.53606,                0.88627,                0.72779,                0.70342,                0.71703,                0.47511,                 1.1515,                 0.8871,                  1.023,             6.9084e-05,             6.9084e-05,             6.9084e-05
                     72,                0.79248,                0.53833,                0.89265,                 0.6991,                0.71248,                0.69948,                0.45416,                 1.1591,                0.92655,                 1.0254,             5.7085e-05,             5.7085e-05,             5.7085e-05
                     73,                0.79761,                0.52718,                0.89035,                0.74253,                0.67057,                0.70156,                0.46665,                 1.1429,                0.91607,                 1.0171,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     74,                0.77281,                0.52187,                0.88069,                 0.7496,                0.66729,                0.71493,                0.47281,                 1.1405,                0.91451,                 1.0148,             3.3088e-05,             3.3088e-05,             3.3088e-05
                     75,                0.79181,                0.52478,                0.88238,                0.76612,                0.67591,                0.71698,                0.47409,                 1.1431,                0.90107,                  1.018,             2.1089e-05,             2.1089e-05,             2.1089e-05
